GWH ID	Wu ID	IHSM SDB ID
GWHTABKE000389	Yangtao2018364	Aveca01vR1g03890.1
GWHTABKE000390	Yangtao2018363	Aveca01vR1g03900.1
GWHTABKE000391	Yangtao2018362	Aveca01vR1g03910.1
GWHTABKE000392	Yangtao2018361	Aveca01vR1g03920.1
GWHTABKE000393	Yangtao2018360	Aveca01vR1g03930.1
GWHTABKE000394	Yangtao2018359	Aveca01vR1g03940.1
GWHTABKE000395	Yangtao2018358	Aveca01vR1g03950.1
GWHTABKE000396	Yangtao2018357	Aveca01vR1g03960.1
GWHTABKE000397	Yangtao2018356	Aveca01vR1g03970.1
GWHTABKE000398	Yangtao2018355	Aveca01vR1g03980.1
GWHTABKE000399	Yangtao2018354	Aveca01vR1g03990.1
GWHTABKE000400	Yangtao2018353	Aveca01vR1g04000.1
GWHTABKE000401	Yangtao2018352	Aveca01vR1g04010.1
GWHTABKE000402	Yangtao2018351	Aveca01vR1g04020.1
GWHTABKE000403	Yangtao2018350	Aveca01vR1g04030.1
GWHTABKE000404	Yangtao2018349	Aveca01vR1g04040.1
GWHTABKE000405	Yangtao2018348	Aveca01vR1g04050.1
GWHTABKE000406	Yangtao2018347	Aveca01vR1g04060.1
GWHTABKE000407	Yangtao2018346	Aveca01vR1g04070.1
GWHTABKE000408	Yangtao2018345	Aveca01vR1g04080.1
GWHTABKE000409	Yangtao2018344	Aveca01vR1g04090.1
GWHTABKE000410	Yangtao2018343	Aveca01vR1g04100.1
GWHTABKE000411	Yangtao2018342	Aveca01vR1g04110.1
GWHTABKE000412	Yangtao2018341	Aveca01vR1g04120.1
GWHTABKE000413	Yangtao2018340	Aveca01vR1g04130.1
GWHTABKE000414	Yangtao2018339	Aveca01vR1g04140.1
GWHTABKE000415	Yangtao2018338	Aveca01vR1g04150.1
GWHTABKE000416	Yangtao2018337	Aveca01vR1g04160.1
GWHTABKE000417	Yangtao2018336	Aveca01vR1g04170.1
GWHTABKE000418	Yangtao2018335	Aveca01vR1g04180.1
GWHTABKE000419	Yangtao2018334	Aveca01vR1g04190.1
GWHTABKE000420	Yangtao2018333	Aveca01vR1g04200.1
